id, N.mu, Cab.mu, Car.mu, Cw.mu, Cm.mu, residual.mu, N.sigma, Cab.sigma, Car.sigma, Cw.sigma, Cm.sigma, residual.sigma, N.q25, Cab.q25, Car.q25, Cw.q25, Cm.q25, residual.q25, N.med, Cab.med, Car.med, Cw.med, Cm.med, residual.med, N.q975, Cab.q975, Car.q975, Cw.q975, Cm.q975, residual.q975
dryoct-tm28_00163.sed, 2.92974701813589, 41.0014606241551, 7.26042154650017, 0.00207322657812171, 0.00346026347514653, 0.0750446088507593, 0.0635255040488163, 10.6095478297175, 4.19038366154597, 0.00052498379171928, 0.000961146386850166, 0.00468409548811524, 2.78614582171851, 23.3605711832822, 1.72173373016546, 0.00120416181811666, 0.00179319376275228, 0.0677549673885316, 2.95222969794423, 39.6655640253708, 5.66461672317426, 0.00206706873331723, 0.00336470380035081, 0.074238980829825, 2.99655199943382, 66.3528143400039, 19.4715086880904, 0.00314937585653235, 0.00557474898650012, 0.0851360736390154
dryoct-tm28_00165.sed, 2.18111762583601, 41.2800362183631, 8.04735607141212, 0.00126474518147734, 0.00896299175433724, 0.0241869146866878, 0.0641578357776958, 5.09764351906315, 3.78306334394812, 0.000214882889088011, 0.000713892145486576, 0.00116176471390653, 2.05783310113182, 31.8887137981088, 2.43390309835922, 0.000866168240058826, 0.00768909584900417, 0.0225998312143165, 2.18394828980454, 41.299518895108, 7.84335918307934, 0.00122528502200961, 0.00898021492793035, 0.0239454344125578, 2.30486874376832, 52.2387303753828, 18.3254014579948, 0.00171107911467805, 0.01046452037623, 0.0269053794210957
dryoct-tm28_00167.sed, 2.95163527872384, 44.7786037682213, 8.69125067770891, 0.00163438753903851, 0.00518004553991034, 0.0498017018829661, 0.05012679547546, 8.65168314852982, 4.88161002359371, 0.000329975842598654, 0.000823166214431683, 0.00289175752623489, 2.8166179253241, 30.2345178625412, 1.76580939503641, 0.00111766835292866, 0.00356630962984702, 0.045719642051296, 2.96727414059389, 44.9596251172828, 7.89394263168476, 0.00156425288091096, 0.00521190007362707, 0.0492074026095364, 2.99854520437143, 63.3597759611514, 20.0513139550809, 0.00242681051173015, 0.0068424665970848, 0.0568576426555285
dryoct-tm29_00168.sed, 2.92749479592603, 44.2353501387326, 7.16006329491587, 0.00249697080468209, 0.00287605462689145, 0.102953805770264, 0.0507113249983315, 15.3719699440951, 4.90317566607042, 0.000725641312059797, 0.00113051190694969, 0.00548969074242322, 2.79590966023765, 20.192299260108, 1.68107513992342, 0.00134546769830971, 0.00111901506832844, 0.0953078659198668, 2.9375101049659, 42.1906537957472, 5.84465784554535, 0.00235732363309287, 0.00267652269257646, 0.101728381203809, 2.99707780077002, 81.7065230252181, 22.5364894469212, 0.00407699229316861, 0.00579340812071927, 0.115796515284486
dryoct-tm29_00172.sed, 2.90889031741522, 40.1569314871224, 6.65352213944153, 0.00276505335308632, 0.00284058154024506, 0.12759404169822, 0.083867790825324, 14.2580690572365, 3.25386842667937, 0.000826852853375395, 0.00105630693478561, 0.00798476325053967, 2.68457044985736, 18.5030516362868, 1.85255661386226, 0.00145630274668346, 0.00114157117898401, 0.116131869933985, 2.93159724523397, 38.3157212061522, 6.29225899893101, 0.00268388507630108, 0.00274549229965761, 0.12626421586494, 2.99650856490287, 74.9807250177168, 14.8093120767047, 0.00464528185981384, 0.00525296970028471, 0.146272265424337
dryoct-tm29_00173.sed, 2.89983679706255, 39.6410120648064, 7.34235363928783, 0.002898052994474, 0.00239185657018831, 0.125894066557383, 0.0928317961628281, 15.506781381746, 4.26264207754576, 0.000759489500231886, 0.000769538595828773, 0.00697677752468007, 2.64270388237602, 19.243882175966, 1.49366882840484, 0.00154780800845981, 0.00109231341518533, 0.114561907143944, 2.92675240882331, 36.2409226872368, 6.39403243823479, 0.00285457344649691, 0.00226428256391953, 0.12527376457571, 2.99650973275722, 83.3655102503363, 18.3400875592051, 0.00442561300451051, 0.00401877530977352, 0.142148305811494
dryoct-tm29_00174.sed, 2.87685924161283, 34.3193052685765, 7.07444073973099, 0.00318572758298297, 0.0031416987694504, 0.137639937223523, 0.11451104673991, 12.8244248605347, 3.22797989227303, 0.000894003368320962, 0.00147991580049882, 0.00816971058601514, 2.54141394352632, 15.511847052222, 1.98909663221415, 0.00159683030250833, 0.000908225462039293, 0.125392142248755, 2.90496760864254, 31.6754403995441, 6.66850411478016, 0.00312753154665553, 0.00283125169792741, 0.136316612328664, 2.99618732299139, 68.751551709448, 14.8965997413652, 0.00520903620059256, 0.00663350406719103, 0.157072591706259
dryoct-tm30_00178.sed, 2.88801641111002, 36.0323541027565, 6.95851533967781, 0.0035598416839907, 0.00300243526742023, 0.142483364512411, 0.0970742684647235, 13.5033533707216, 4.01679481128497, 0.000891531449266711, 0.00126671790531209, 0.00859405211667849, 2.62868913584179, 16.3749583932386, 1.61869037208003, 0.00205427406411169, 0.00111632789254664, 0.130832985828708, 2.91738699853971, 33.8706490827626, 6.1485056291229, 0.00340543216359571, 0.00277955111966429, 0.140499840099394, 2.99575401452912, 66.3504256832262, 16.6480949683475, 0.00569995215392641, 0.00580146420876679, 0.163558819273981
dryoct-tm30_00179.sed, 2.87596807725112, 33.0090057151769, 7.90608810164956, 0.00302034672782659, 0.00304264006055791, 0.139932587638878, 0.107844603035311, 11.847069834004, 5.09582608918973, 0.000878610748660653, 0.00117607970702945, 0.00720707044485395, 2.55656432078919, 15.8671379058055, 1.5365575688756, 0.0017462878001826, 0.00126673070095999, 0.129766280793266, 2.90142697087601, 30.4953667740296, 6.53044465847041, 0.00282695721020942, 0.00284405939224911, 0.138646731800312, 2.9934237840094, 59.7048078404769, 21.193185062185, 0.00557869484272564, 0.00601981041963681, 0.158110942319973
dryoct-tm30_00180.sed, 2.92764934805701, 36.5650176092041, 6.85694380191209, 0.00362346156987132, 0.00313122149936726, 0.123975691286079, 0.0538257936696055, 11.6379104377886, 3.0249347975333, 0.00103717398907358, 0.00111889402558293, 0.00620121113751696, 2.79853437657383, 17.0221951595364, 1.72290250977131, 0.0019058069698479, 0.0011057135131571, 0.115108806376466, 2.93917298778108, 35.4350580797842, 6.93329024584339, 0.00348170492211116, 0.00307622418708179, 0.122767944483244, 2.99546597189941, 63.0136570644873, 12.070770904679, 0.00601630636405569, 0.00545668310910241, 0.13913103605915
